21.7667,1.17,1.1867,0.46,0.4667,39.32,39.33,0.71,0.72,60.68,60.67,0.2433,20.8
22.93,1.1633,1.15,0.46,0.4533,39.54,39.42,0.7033,0.6967,60.46,60.58,0.25,21.49
24.12,1.19,1.19,0.4567,0.47,38.38,39.5,0.7333,0.72,61.62,60.5,0.2633,22.13
25.3233,1.2033,1.1833,0.47,0.4667,39.06,39.44,0.7333,0.7167,60.94,60.56,0.2667,22.16
26.4833,1.16,1.18,0.46,0.4467,39.66,37.85,0.7,0.7333,60.34,62.15,0.2533,21.84
27.6267,1.1433,1.1633,0.4533,0.4567,39.65,39.26,0.69,0.7067,60.35,60.74,0.2333,20.41
28.7933,1.1667,1.15,0.4667,0.4467,40.0,38.84,0.7,0.7033,60.0,61.16,0.2533,21.71
29.9433,1.15,1.1733,0.4467,0.4667,38.84,39.77,0.7033,0.7067,61.16,60.23,0.2367,20.58
31.08,1.1367,1.1267,0.4567,0.44,40.18,39.05,0.68,0.6867,59.82,60.95,0.24,21.11
32.2067,1.1267,1.1333,0.44,0.4367,39.05,38.53,0.6867,0.6967,60.95,61.47,0.25,22.19
33.35,1.1433,1.14,0.46,0.4433,40.23,38.89,0.6833,0.6967,59.77,61.11,0.24,20.99
34.5033,1.1533,1.1467,0.47,0.4567,40.75,39.83,0.6833,0.69,59.25,60.17,0.2267,19.65
35.6367,1.1333,1.1333,0.4633,0.4533,40.88,40.0,0.67,0.68,59.12,60.0,0.2167,19.12
36.7933,1.1567,1.1467,0.4633,0.45,40.06,39.24,0.6933,0.6967,59.94,60.76,0.2433,21.04
37.9967,1.2033,1.1833,0.4767,0.4767,39.61,40.28,0.7267,0.7067,60.39,59.72,0.25,20.78
39.2067,1.21,1.2,0.4667,0.4533,38.57,37.78,0.7433,0.7467,61.43,62.22,0.29,23.97
40.36,1.1533,1.19,0.4467,0.4433,38.73,37.25,0.7067,0.7467,61.27,62.75,0.2633,22.83
